GEMSTONE_MAIN_CATEGORY,GEMSTONE_SUB_CATEGORY,GEMSTONE_CLASSIFICATION,GEMSTONE_NAME
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pentlandite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Periclase
Gemstones,Lab-Created Semi-Precious,Lab-Created Peridot,Lab-Created Peridot
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Peristerite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Perthite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Petalite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Phenakite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Phosgenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Phosphophyllite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pollucite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Poudretteite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Powellite
Gemstones,Lab-Created Semi-Precious,Lab-Created Prasiolite,Lab-Created Prasiolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Prehnite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Prosopite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Proteus
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Proustite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pumpellyite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Purpurite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyrargyrite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyrite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyrope
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyrope 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyrope 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyrophyllite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pyroxmangite
